,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,0,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output000,7.041,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart000,0.46,Ryan Holmes,2023-03-09T20:23:45,76002504,2,"[75988523, 75992538]",normal,147.52,0.2561111111111111,147.2177049180328,0.2555862932604736,,,,263.28000000026077,288,216,24,0.084,78.4175,220.33,85.66,"[16, 15]",cartesian,15,300,5400,80,1,cf58ffe45fc4d3a21bec24ee5519cd68abf57d80,2023-03-09 20:08:39 +1100,,,0,False,initial
,1,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output001,7.078,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart001,0.461,Ryan Holmes,2023-03-10T01:29:27,76019057,0,[],normal,152.96,0.26555555555555554,153.06476712328768,0.2657374429223744,4.829444444444444,720.5181550539745,4.707276328808088,267.01999999955297,288,216,24,0.081,75.6353,211.4,80.87,"[16, 15]",cartesian,15,300,5400,80,1,c99e496912f66cf0377f61c4183cdda3304dbc07,2023-03-10 01:14:27 +1100,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_jra55_iaf.csv","['update run summary', '2023-03-10 01:14:27: Run 1']",35040,True,continue
,2,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output002,3.55,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart002,0.461,Ryan Holmes,2023-03-10T04:14:28,76045884,0,[],normal,142.56,0.2475,142.65764383561643,0.2476695205479452,2.5027777777777778,1244.03433996566,8.72041838430441,273.3899999996647,288,216,24,0.077,70.630072,209.67,76.15,"[16, 15]",cartesian,15,300,5400,80,1,7a447fab8ad6829754a0e3e31f184107c3a96ddd,2023-03-10 03:59:53 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_jra55_iaf.csv","['update run summary', '2023-03-10 03:59:52: Run 2']",70080,True,continue
,3,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output003,3.551,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart003,0.462,Ryan Holmes,2023-03-10T06:19:36,76062047,0,[],normal,143.52,0.24916666666666668,143.61830136986302,0.2493373287671233,1.8363888888888888,1651.5887053809272,11.49984848468273,268.0599999995902,288,216,24,0.076,70.422562,213.14,76.1,"[16, 15]",cartesian,15,300,5400,80,1,d2be88e2c4e88bad420c9488defc3eca7bfd1960,2023-03-10 06:04:54 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_jra55_iaf.csv","['update run summary', '2023-03-10 06:04:54: Run 3']",105120,True,continue
,4,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output004,3.552,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart004,0.462,Ryan Holmes,2023-03-10T08:28:24,76074648,0,[],normal,147.04,0.25527777777777777,146.73868852459017,0.2547546675774135,1.8913888888888888,1643.9254658385094,11.203081357531854,261.9900000002235,288,216,24,0.075,69.704003,208.49,75.44,"[16, 15]",cartesian,15,300,5400,80,1,7e086d4c3cc368f140b92d6139bab767949c2721,2023-03-10 08:13:38 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_jra55_iaf.csv","['update run summary', '2023-03-10 08:13:38: Run 4']",140160,True,continue
,5,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output005,3.548,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart005,0.462,Ryan Holmes,2023-03-10T13:31:24,76083647,0,[],normal,157.76,0.2738888888888889,157.86805479452053,0.27407648401826484,4.776111111111111,749.7504950495049,4.749222355500438,274.59999999962747,288,216,24,0.071,72.672994,217.95,72.38,"[16, 15]",cartesian,15,300,5400,80,1,e119bfe16e80896779af5d980ed4266b17e2e99d,2023-03-10 13:15:18 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_jra55_iaf.csv","['update run summary', '2023-03-10 13:15:18: Run 5']",175200,True,continue
,6,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_jra55_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_jra55_iaf/output006,3.55,/scratch/au06/rmh561/access-om2/archive/1deg_jra55_iaf/restart006,1.207,Ryan Holmes,2023-03-10T17:09:35,76115240,0,[],normal,142.08,0.24666666666666667,142.17731506849316,0.24683561643835616,3.3897222222222223,937.721488045222,6.595436744557173,270.6900000004098,288,216,24,0.072,66.273257,208.31,72.12,"[16, 15]",cartesian,15,300,5400,80,1,47c9661bcbe379d54f59315f21663c5107442f06,2023-03-10 16:55:01 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_jra55_iaf.csv","['update run summary', '2023-03-10 16:55:01: Run 6']",210240,True,continue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
Total,21,,,,2557.0,,,31.87,,3.9750000000000005,,,532403027,2,,,1033.44,1.7941666666666667,1033.3424756344039,1.793997353531951,19.225833333333334,6947.538649333797,47.475283655384686,1879.0299999993294,2016,1512,168,0.536,503.75568799999996,1489.29,538.72,,,105,2100,37800,560,7,,,,,735840,6,
Mean,3.0,,,0.25,365.2857142857143,,,4.552857142857143,,0.567857142857143,,,76057575.28571428,0.2857142857142857,[10855503.28571429 10856076.85714286],,147.6342857142857,0.2563095238095238,147.62035366205768,0.25628533621885013,3.2043055555555555,1157.9231082222996,7.912547275897448,268.43285714276135,288.0,216.0,24.0,0.07657142857142858,71.96509828571428,212.75571428571428,76.96000000000001,15.5,,15.0,300.0,5400.0,80.0,1.0,,,,,105120.0,0.8571428571428571,
Median,3.0,,,0.0,365.0,,,3.551,,0.462,,,76062047.0,0.0,[],,147.04,0.25527777777777777,146.73868852459017,0.2547546675774135,2.94625,1090.877914005441,7.657927564430791,268.0599999995902,288.0,216.0,24.0,0.076,70.630072,211.4,76.1,15.5,,15.0,300.0,5400.0,80.0,1.0,,,,,105120.0,1.0,
